Using cuda device
Logging to runs/p7f343fa/PPO_1
---------------------------------
| rollout/           |          |
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 112         |
|    ep_rew_mean          | 0.372       |
| time/                   |             |
|    fps                  | 1013        |
|    iterations           | 24          |
|    time_elapsed         | 776         |
|    total_timesteps      | 786432      |
| train/                  |             |
|    approx_kl            | 0.019885674 |
|    clip_fraction        | 0.233       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.44       |
|    explained_variance   | 0.483       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00571     |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.0231     |
|    value_loss           | 0.00177     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 110         |
|    ep_rew_mean          | 0.353       |
| time/                   |             |
|    fps                  | 1009        |
|    iterations           | 25          |
|    time_elapsed         | 811         |
|    total_timesteps      | 819200      |
| train/                  |             |
|    approx_kl            | 0.020352632 |
|    clip_fraction        | 0.242       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.42       |
|    explained_variance   | 0.534       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00209     |
|    n_updates            | 240         |
|    policy_gradient_loss | -0.0238     |
|    value_loss           | 0.00164     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 107         |
|    ep_rew_mean          | 0.37        |
| time/                   |             |
|    fps                  | 1008        |
|    iterations           | 26          |
|    time_elapsed         | 844         |
|    total_timesteps      | 851968      |
| train/                  |             |
|    approx_kl            | 0.020379964 |
|    clip_fraction        | 0.238       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.39       |
|    explained_variance   | 0.469       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0379     |
|    n_updates            | 250         |
|    policy_gradient_loss | -0.023      |
|    value_loss           | 0.00186     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 107         |
|    ep_rew_mean          | 0.397       |
| time/                   |             |
|    fps                  | 1008        |
|    iterations           | 27          |
|    time_elapsed         | 877         |
|    total_timesteps      | 884736      |
| train/                  |             |
|    approx_kl            | 0.021261862 |
|    clip_fraction        | 0.248       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.36       |
|    explained_variance   | 0.491       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0419     |
|    n_updates            | 260         |
|    policy_gradient_loss | -0.0231     |
|    value_loss           | 0.00202     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 106         |
|    ep_rew_mean          | 0.376       |
| time/                   |             |
|    fps                  | 1008        |
|    iterations           | 28          |
|    time_elapsed         | 910         |
|    total_timesteps      | 917504      |
| train/                  |             |
|    approx_kl            | 0.021332987 |
|    clip_fraction        | 0.245       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.35       |
|    explained_variance   | 0.474       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0423     |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0233     |
|    value_loss           | 0.00243     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 108         |
|    ep_rew_mean          | 0.369       |
| time/                   |             |
|    fps                  | 1007        |
|    iterations           | 29          |
|    time_elapsed         | 943         |
|    total_timesteps      | 950272      |
| train/                  |             |
|    approx_kl            | 0.021552993 |
|    clip_fraction        | 0.25        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.34       |
|    explained_variance   | 0.447       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.052      |
|    n_updates            | 280         |
|    policy_gradient_loss | -0.0238     |
|    value_loss           | 0.00216     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 105         |
|    ep_rew_mean          | 0.403       |
| time/                   |             |
|    fps                  | 1003        |
|    iterations           | 30          |
|    time_elapsed         | 979         |
|    total_timesteps      | 983040      |
| train/                  |             |
|    approx_kl            | 0.022423709 |
|    clip_fraction        | 0.252       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.31       |
|    explained_variance   | 0.454       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0284     |
|    n_updates            | 290         |
|    policy_gradient_loss | -0.0233     |
|    value_loss           | 0.00239     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 94.7        |
|    ep_rew_mean          | 0.445       |
| time/                   |             |
|    fps                  | 1001        |
|    iterations           | 31          |
|    time_elapsed         | 1014        |
|    total_timesteps      | 1015808     |
| train/                  |             |
|    approx_kl            | 0.021871436 |
|    clip_fraction        | 0.247       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.28       |
|    explained_variance   | 0.485       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.035      |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0222     |
|    value_loss           | 0.00261     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 104         |
|    ep_rew_mean          | 0.449       |
| time/                   |             |
|    fps                  | 998         |
|    iterations           | 32          |
|    time_elapsed         | 1049        |
|    total_timesteps      | 1048576     |
| train/                  |             |
|    approx_kl            | 0.021744473 |
|    clip_fraction        | 0.25        |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.27       |
|    explained_variance   | 0.453       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0445     |
|    n_updates            | 310         |
|    policy_gradient_loss | -0.0224     |
|    value_loss           | 0.00297     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 102         |
|    ep_rew_mean          | 0.428       |
| time/                   |             |
|    fps                  | 997         |
|    iterations           | 33          |
|    time_elapsed         | 1084        |
|    total_timesteps      | 1081344     |
| train/                  |             |
|    approx_kl            | 0.022725713 |
|    clip_fraction        | 0.254       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.23       |
|    explained_variance   | 0.396       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0523     |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0221     |
|    value_loss           | 0.00328     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 87.7       |
