
Using cuda device
Logging to runs/7ftz3hl5/PPO_1
---------------------------------
| rollout/           |          |
|    n_updates            | 300         |
|    policy_gradient_loss | -0.0349     |
|    value_loss           | 8.7e-05     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 203        |
|    ep_rew_mean          | 0.232      |
| time/                   |            |
|    fps                  | 1101       |
|    iterations           | 32         |
|    time_elapsed         | 951        |
|    total_timesteps      | 1048576    |
| train/                  |            |
|    approx_kl            | 0.03244444 |
|    clip_fraction        | 0.33       |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.2       |
|    explained_variance   | 0.868      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.039     |
|    n_updates            | 310        |
|    policy_gradient_loss | -0.031     |
|    value_loss           | 0.000144   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 208         |
|    ep_rew_mean          | 0.221       |
| time/                   |             |
|    fps                  | 1098        |
|    iterations           | 33          |
|    time_elapsed         | 983         |
|    total_timesteps      | 1081344     |
| train/                  |             |
|    approx_kl            | 0.031233989 |
|    clip_fraction        | 0.324       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.18       |
|    explained_variance   | 0.867       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0723     |
|    n_updates            | 320         |
|    policy_gradient_loss | -0.0317     |
|    value_loss           | 0.00016     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 210         |
|    ep_rew_mean          | 0.223       |
| time/                   |             |
|    fps                  | 1096        |
|    iterations           | 34          |
|    time_elapsed         | 1016        |
|    total_timesteps      | 1114112     |
| train/                  |             |
|    approx_kl            | 0.031814165 |
|    clip_fraction        | 0.322       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.15       |
|    explained_variance   | 0.935       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0787     |
|    n_updates            | 330         |
|    policy_gradient_loss | -0.0348     |
|    value_loss           | 6.97e-05    |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 205       |
|    ep_rew_mean          | 0.211     |
| time/                   |           |
|    fps                  | 1094      |
|    iterations           | 35        |
|    time_elapsed         | 1047      |
|    total_timesteps      | 1146880   |
| train/                  |           |
|    approx_kl            | 0.0328628 |
|    clip_fraction        | 0.327     |
|    clip_range           | 0.2       |
|    entropy_loss         | -2.13     |
|    explained_variance   | 0.964     |
|    learning_rate        | 0.0003    |
|    loss                 | -0.0698   |
|    n_updates            | 340       |
|    policy_gradient_loss | -0.039    |
|    value_loss           | 4.11e-05  |
---------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 203        |
|    ep_rew_mean          | 0.234      |
| time/                   |            |
|    fps                  | 1092       |
|    iterations           | 36         |
|    time_elapsed         | 1079       |
|    total_timesteps      | 1179648    |
| train/                  |            |
|    approx_kl            | 0.03301058 |
|    clip_fraction        | 0.333      |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.07      |
|    explained_variance   | 0.899      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0405    |
|    n_updates            | 350        |
|    policy_gradient_loss | -0.0326    |
|    value_loss           | 0.000101   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 199         |
|    ep_rew_mean          | 0.233       |
| time/                   |             |
|    fps                  | 1091        |
|    iterations           | 37          |
|    time_elapsed         | 1111        |
|    total_timesteps      | 1212416     |
| train/                  |             |
|    approx_kl            | 0.033050027 |
|    clip_fraction        | 0.327       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.02       |
|    explained_variance   | 0.963       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0655     |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.0368     |
|    value_loss           | 5.03e-05    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 200         |
|    ep_rew_mean          | 0.24        |
| time/                   |             |
|    fps                  | 1088        |
|    iterations           | 38          |
|    time_elapsed         | 1143        |
|    total_timesteps      | 1245184     |
| train/                  |             |
|    approx_kl            | 0.032629278 |
